material,price,unit
3-Wheel Ag Sprayer,50.00,us$/h
Challenger tractor,90.00,us$/h
Cooler/van,1.20,us$/h
Eliminator,155.00,us$/h
FR 6080 FH,180.00,us$/h
Large tractor,70.00,us$/h
Mid-size tractor,45.00,us$/h
Semi-tractor trailer,55.00,us$/h
Small tractor,30.00,us$/h
Support Truck,25.00,us$/h
Tandem axle truck,25.00,us$/h
Tractor and sprayer,50.00,us$/h
3-Wheel ag sprayer,30.00,us$/h
Challenger tractor,35.00,us$/h
Cooler/van,0.71,us$/h
FR 6080 FH,30.00,us$/h
Laborer,17.00,us$/h
Labor--Large tractor,35.00,us$/h
Labor--Mid-size tractor,22.00,us$/h
Labor--Semi-tractor trailer,28.00,us$/h
Labor--Small tractor,22.00,us$/h
Labor--Supervisor,26.00,us$/h
Labor--Support Truck,30.00,us$/h
Labor--Tandem axle truck,26.00,us$/h
Labor--Tractor and Sprayer,30.00,us$/h
Equipment Fuel,2.81,us$/[gal_us]
"2,4-D",5.00,us$/[qt_us]
Coragen,210.00,us$/[qt_us]
Fusilade,30.00,us$/[qt_us]
Glyphosate,4.00,us$/[qt_us]
Goal 2XL,30.00,us$/[qt_us]
Imidacloprid,56.00,us$/[qt_us]
Oust,64.00,us$/[lb_av]
Rozol,1.85,us$/[lb_av]
Sureguard,130.00,us$/[lb_av]
Transline,215,us$/[gal_us]
Trifluralin,7.50,us$/[qt_us]
Poplar Cutting,0.08,us$/1
Irrigation Cost,6.00,us$/[acr_us].[in_us]
