item,amount,units
Sulfuric Acid,1232,lbN
Mulch,10,lbN
UN32,100,lbN
Success,12,floz
Devrinol 50DF,8,lb
Surflan AS,4,pint
Pristine,40,oz
Labor (Machine),24.72,hr
Labor (non-machine),1113.3,hr
Fuel - Diesel,52.51,gal
Bee Hives,2,hive
Pick Berries,1000,hrs
Cool and Pack,10000,lb
Water,360,acre
Sulfuric Acid,1232,lbN
Mulch,10,lbN
UN32,100,lbN
Success,12,floz
Devrinol 50DF,8,lb
Surflan AS,4,pint
Pristine,40,oz
Labor (Machine),24.72,hr
Labor (non-machine),1113.3,hr
Fuel - Diesel,52.51,gal
Bee Hives,2,hive
Pick Berries,1000,hrs
Cool and Pack,10000,lb
Water,360,acre
