item,amount,units
Dry Nitrogen,210,lb
Dry P2O5,80,lb
K20,100,lb
Sulfur,30,lb
Micro-Tech,2,qt
Counter 15G L-N-L,8,lb
Roundup Original Max,40,oz
Ammonium Sulfate,2,lb
Corn,0.45,bag
Labor (Machine),2.6,hr
Labor (non-machine),4.25,hr
Fuel - Gas,1.25,gal
Fuel - Diesel,13,gal
Lube,1,acre
Repair,1,acre
Ground Application,2,acre
Harvest for Grain,1,acre
Haul Local,190,bu
Water,1,acre
Crop Insurance,1,acre
Harvest,30,ton
Dry Nitrogen,210,lb
Dry P2O5,80,lb
K20,100,lb
Sulfur,30,lb
Micro-Tech,2,qt
Counter 15G L-N-L,8,lb
Roundup Original Max,40,oz
Ammonium Sulfate,2,lb
Corn,0.45,bag
Labor (Machine),2.6,hr
Labor (non-machine),4.25,hr
Fuel - Gas,1.25,gal
Fuel - Diesel,13,gal
Lube,1,acre
Repair,1,acre
Ground Application,2,acre
Harvest for Grain,1,acre
Haul Local,190,bu
Water,1,acre
Crop Insurance,1,acre
