item,amount,units
Dry Nitrogen - Preplant,180,lb
Dry P2O5,220,lb
K2O,205,lb
Sulfur,80,lb
Micronutrients,2,ac
Liquid Nitrogen,150,lb
Liquid P2O5,40,lb
Metam Sodium,40,gal
Admire Pro,8,oz
Quadris,8,oz
Outlook 6EC,20,oz
Sencor 75DF,0.75,lb
Prowl 3.3EC,1,qt
Endura (2x),11,oz
Dithane F45 Rainshield,1.6,qt
Headline,6,oz
Leverage 2.7,3.75,oz
Reglone,1,qt
Potato Seed,23,cwt
Labor (Machine),6.3,hr
Labor (Irrigation),2.16,hr
Labor (other),2.7,hr
Fuel - Gas,2.8,gal
Fuel - Diesel,28.8,gal
Lubricants,1,acre
Repair,1,acre
Custom Fertilize,2,acre
Water Assesment,1,acre
Consultant,1,acre
Custom Air Spray,3,acre
Fumigation,1,acre
Fees Assesment,442,cwt
Irrigation,28,acin
Storage Operating Costs,465,cwt
Storage Repairs,1,ac
