item,amount,units
Dry Nitrogen,200,lb
Dry P2O5,60,lb
K20,100,lb
Sulfur,30,lb
Micro-Tech,2,qt
Counter 15G L-N-L,8,lb
Roundup Original Max,40,oz
Ammonium Sulfate,2,lb
Corn,0.65,bag
Labor (Machine),2.6,hr
Labor (non-machine),4.25,hr
Fuel - Diesel,13,gal
Haul Local,129,cwt
Assesment,129,cwt
Seed Test,129,cwt
Dry Nitrogen,200,lb
Dry P2O5,60,lb
K20,100,lb
Sulfur,30,lb
Micro-Tech,2,qt
Counter 15G L-N-L,8,lb
Roundup Original Max,40,oz
Ammonium Sulfate,2,lb
Corn,0.65,bag
Labor (Machine),2.6,hr
Labor (non-machine),4.25,hr
Fuel - Diesel,13,gal
Haul Local,129,cwt
Assesment,129,cwt
Seed Test,129,cwt
