budget_id,commodity,location,phase,material,unit,amount
,32-0-0,CA,,,lb N,40
,46-0-0,CA,,,lb N,50
,80-0-0,CA,,,lb N,130
,Puma 1EC,CA,,,floz,10.6
,Shark EW,CA,,,oz,1.5
,Wheat,CA,,,lb,130
,Labor (Machine),CA,,,hr,0.82
,Labor (non-machine),CA,,,hr,0.75
,Fuel - Gas,CA,,,gal,0.6
,Fuel - Diesel,CA,,,gal,4.83
,Maintenance,CA,,,,1
,Repair,CA,,,,1
,Air Application,CA,,,,3
,Combine Wheat,CA,,,,1
,Pest Control Consultant,CA,,,,1
,Wheat Assesment,CA,,,,86.8
,Water,CA,,,acin,20
,oes452091,CA,,,hours,0.82
,oes452092,CA,,,hours,0.75
