budget_id,commodity,location,phase,material,unit,amount
,Sulfuric Acid,CA,,,lbN,1232
,Mulch,CA,,,lbN,10
,UN32,CA,,,lbN,100
,Success,CA,,,floz,12
,Devrinol 50DF,CA,,,lb,8
,Surflan AS,CA,,,pint,4
,Pristine,CA,,,oz,40
,Labor (Machine),CA,,,hr,24.72
,Labor (non-machine),CA,,,hr,1113.3
,Fuel - Diesel,CA,,,gal,52.51
,Bee Hives,CA,,,hive,2
,Pick Berries,CA,,,hrs,1000
,Cool and Pack,CA,,,lb,10000
,Water,CA,,,acre,360
,Sulfuric Acid,CA,,,lbN,1232
,Mulch,CA,,,lbN,10
,UN32,CA,,,lbN,100
,Success,CA,,,floz,12
,Devrinol 50DF,CA,,,lb,8
,Surflan AS,CA,,,pint,4
,Pristine,CA,,,oz,40
,Labor (Machine),CA,,,hr,24.72
,Labor (non-machine),CA,,,hr,1113.3
,Fuel - Diesel,CA,,,gal,52.51
,Bee Hives,CA,,,hive,2
,Pick Berries,CA,,,hrs,1000
,Cool and Pack,CA,,,lb,10000
,Water,CA,,,acre,360
