price_id,item,location,year,auth_id,price,unit
,Barley Seed,ID,,UCD,0.22,lb
,Canola,ID,,UCD,0.13,lb
,Sulfur (dry),ID,,UCD,0.44,lb
,Roundup,ID,,UCD,0.47,oz
,M90,ID,,UCD,0.15,oz
,Capture,ID,,UCD,2.2,acre
,Canola,ID,,UCD,9.2,lb
,Fuel,ID,,UCD,2.05,gal
,Lubricants,ID,,UCD,2.24,acre
,Rental Sprayer,ID,,UCD,1.75,acre
,Custom Aerial Spray,ID,,UCD,6.75,acre
,Dry Nitrogen,ID,,UCD,0.5,lb
,Sulfur,ID,,UCD,0.19,lb
,Micro-Tech,ID,,UCD,7.3,qt
,Custom Fertilize,ID,,UCD,7.75,acre
,Custom Combining,ID,,UCD,25,acre
,Nitrogen (dry),ID,,UCD,0.61,lb
,Phosphorous (dry),ID,,UCD,0.64,lb
,Rental Ripper Shooter,ID,,UCD,2.5,acre
,Dry P2O5,ID,,UCD,0.46,lb
,K20,ID,,UCD,0.69,lb
,Counter 15G L-N-L,ID,,UCD,2.4,lb
,Roundup Original Max,ID,,UCD,0.51,oz
,Ammonium Sulfate,ID,,UCD,0.39,lb
,Corn,ID,,UCD,165,bag
,Labor (Machine),ID,,UCD,15.6,hr
,Labor (non-machine),ID,,UCD,9.86,hr
,Fuel - Gas,ID,,UCD,2.3,gal
,Fuel - Diesel,ID,,UCD,2.05,gal
,Lube,ID,,UCD,4.35,acre
,Repair,ID,,UCD,15.3,acre
,Ground Application,ID,,UCD,7.75,acre
,Harvest for Grain,ID,,UCD,38,acre
,Haul Local,ID,,UCD,0.18,bu
,Water,ID,,UCD,46,acre
,Crop Insurance,ID,,UCD,8.5,acre
,Barley Seed,ID,,UCD,0.22,lb
,Custom Combining,ID,,UCD,25,acre
,Canola,ID,,UCD,0.13,lb
,Capture,ID,,UCD,2.2,acre
,Canola,ID,,UCD,9.2,lb
,Rental Ripper Shooter,ID,,UCD,2.5,acre
,Harvest,ID,,UCD,9.5,ton
,Micro-Tech,ID,,UCD,7.3,qt
,Counter 15G L-N-L,ID,,UCD,2.4,lb
,Corn,ID,,UCD,165,bag
,Lube,ID,,UCD,4.35,acre
,Ground Application,ID,,UCD,7.75,acre
,Harvest for Grain,ID,,UCD,38,acre
,Haul Local,ID,,UCD,0.18,bu
,Zinc,ID,,UCD,3.1,lb
,Sonalan HFP,ID,,UCD,4.5,pt
,Cut/Windrow,ID,,UCD,26.5,acre
,Combine,ID,,UCD,1.75,acre
,Baling,ID,,UCD,1.2,bales
,Pursuit,ID,,UCD,4.09,oz
,Prowl,ID,,UCD,0.3,oz
,Ammonium Sulfate,ID,,UCD,0.04,oz
,M90,ID,,UCD,0.15,oz
,Dimethoate,ID,,UCD,5.88,pt
,Far-GO,ID,,UCD,5.56,qt
,Lentil Seed,ID,,UCD,0.49,lb
,Fuel,ID,,UCD,2.05,gal
,Custom Aerial Spray,ID,,UCD,6.75,acre
,Roundup,ID,,UCD,0.47,oz
,Maintenance and Repair,ID,,UCD,0,
,Rental Sprayer,ID,,UCD,1.75,acre
,Dry Nitrogen - Preplant,ID,,UCD,0.5,lb
,K2O,ID,,UCD,0.69,lb
,Sulfur,ID,,UCD,0.19,lb
,Liquid P2O5,ID,,UCD,0.63,lb
,Metam Sodium,ID,,UCD,4.5,gal
,Admire Pro,ID,,UCD,4.05,oz
,Quadris,ID,,UCD,2.8,oz
,Outlook 6EC,ID,,UCD,1.2,oz
,Sencor 75DF,ID,,UCD,16.05,lb
,Prowl 3.3EC,ID,,UCD,6.95,qt
