budget_id,commodity,location,phase,material,unit,amount
,Dry Nitrogen,ID,,,lb,25
,Dry P2O5,ID,,,lb,50
,K2O,ID,,,lb,30
,Zinc,ID,,,lb,5
,Sonalan HFP,ID,,,pt,2.5
,Eptam 7EC,ID,,,pt,3.5
,Labor (Machine),ID,,,hr,1.75
,Labor (Irrigation),ID,,,hr,0.76
,Labor (other),ID,,,hr,0.3
,Fuel - Gas,ID,,,gal,1.5
,Fuel - Diesel,ID,,,gal,10.6
,Lubricants,ID,,,acre,1
,Repair,ID,,,acre,1
,Custom Fertilize,ID,,,acre,1
,Cut/Windrow,ID,,,acre,1
,Combine,ID,,,acre,25
,Irrigation,ID,,,acin,19
,Storage Operating Costs,ID,,,cwt,25
