budget_id,commodity,location,phase,material,unit,amount
,Dry Nitrogen,OR,,,lb,200
,Dry P2O5,OR,,,lb,60
,K20,OR,,,lb,100
,Sulfur,OR,,,lb,30
,Micro-Tech,OR,,,qt,2
,Counter 15G L-N-L,OR,,,lb,8
,Roundup Original Max,OR,,,oz,40
,Ammonium Sulfate,OR,,,lb,2
,Corn,OR,,,bag,0.65
,Labor (Machine),OR,,,hr,2.6
,Labor (non-machine),OR,,,hr,4.25
,Fuel - Diesel,OR,,,gal,13
,Haul Local,OR,,,cwt,129
,Assesment,OR,,,cwt,129
,Seed Test,OR,,,cwt,129
,Dry Nitrogen,OR,,,lb,200
,Dry P2O5,OR,,,lb,60
,K20,OR,,,lb,100
,Sulfur,OR,,,lb,30
,Micro-Tech,OR,,,qt,2
,Counter 15G L-N-L,OR,,,lb,8
,Roundup Original Max,OR,,,oz,40
,Ammonium Sulfate,OR,,,lb,2
,Corn,OR,,,bag,0.65
,Labor (Machine),OR,,,hr,2.6
,Labor (non-machine),OR,,,hr,4.25
,Fuel - Diesel,OR,,,gal,13
,Haul Local,OR,,,cwt,129
,Assesment,OR,,,cwt,129
,Seed Test,OR,,,cwt,129
,oes452091,OR,,,hours,2.6
,oes452092,OR,,,hours,4.25
