price_id,item,location,year,auth_id,price,unit
,Management,WA,,UCD,50,
,Achieve SC,WA,,UCD,2,oz
,Starane+Sword,WA,,UCD,0.43,oz
,Barley Seed,WA,,UCD,0.12,lb
,Roundup,WA,,UCD,1.2,oz
,M90,WA,,UCD,0.01,oz
,Capture,WA,,UCD,10.17,acre
,Canola,WA,,UCD,6,lb
,Labor (Machine),WA,,UCD,20,acre
,Fuel,WA,,UCD,2,gal
,Dry Nitrogen,WA,,UCD,0.49,lb
,Dry Phosphate,WA,,UCD,1.17,lb
,Dry Potash,WA,,UCD,0.7,lb
,Dry Sulfur,WA,,UCD,0.38,lb
,Malathion,WA,,UCD,7.95,qt
,Sencor 4L,WA,,UCD,23.75,qt
,Fuel - Diesel,WA,,UCD,2,gal
,Maintenance,WA,,UCD,0.8,
,Ground Application,WA,,UCD,15,
,Swath Rake,WA,,UCD,27.5,
,Haul and Stack,WA,,UCD,9,ton
,Tarping,WA,,UCD,4,ton
,Tissue Analysis,WA,,UCD,0.3,
,Water,WA,,UCD,135,
,Crop Insurance,WA,,UCD,2,
,Gopher Control,WA,,UCD,6,
,Canola,WA,,UCD,0.15,lb
,Nitrogen (dry),WA,,UCD,0.55,lb
,Phosphorous (dry),WA,,UCD,1.17,lb
,Sulfur (dry),WA,,UCD,0.23,lb
,Ammonium Sulfate,WA,,UCD,0.02,oz
,Lubricants,WA,,UCD,2.24,acre
,Repair,WA,,UCD,10.61,acre
,Rental Sprayer,WA,,UCD,1.75,acre
,Custom Aerial Spray,WA,,UCD,6.5,acre
,Rental Ripper Shooter,WA,,UCD,2.5,acre
,Dry Nitrogen,WA,,UCD,0.49,lb
,Dry Phosphate,WA,,UCD,1.17,lb
,Dry Potash,WA,,UCD,0.7,lb
,Dry Sulfur,WA,,UCD,0.38,lb
,Malathion,WA,,UCD,7.95,qt
,Sencor 4L,WA,,UCD,23.75,qt
,Ground Application,WA,,UCD,15,
,Swath Rake,WA,,UCD,27.5,
,Haul and Stack,WA,,UCD,9,ton
,Tarping,WA,,UCD,4,ton
,Tissue Analysis,WA,,UCD,0.3,
,Water,WA,,UCD,135,
,Crop Insurance,WA,,UCD,2,
,Gopher Control,WA,,UCD,6,
,Management,WA,,UCD,50,
,Achieve SC,WA,,UCD,2,oz
,Starane+Sword,WA,,UCD,0.43,oz
,Barley Seed,WA,,UCD,0.12,lb
,Canola,WA,,UCD,0.15,lb
,Capture,WA,,UCD,10.17,acre
,Canola,WA,,UCD,6,lb
,Rental Ripper Shooter,WA,,UCD,2.5,acre
,Pursuit,WA,,UCD,4.15,oz
,Prowl,WA,,UCD,0.25,oz
,M90,WA,,UCD,0.01,oz
,Dimethoate,WA,,UCD,7,pt
,Lentil Seed,WA,,UCD,0.33,lb
,Fuel,WA,,UCD,2,gal
,Lubricants,WA,,UCD,3.96,acre
,Custom Aerial Spray,WA,,UCD,6.5,acre
,Nitrogen,WA,,UCD,0.55,lb
,Phosphorous,WA,,UCD,1.17,lb
,Sulfur,WA,,UCD,0.38,lb
,2,4-D,WA,,UCD,0.16,oz
,Maverick1,WA,,UCD,18,oz
,Discover,WA,,UCD,1.05,oz
,Maintenance and Repair,WA,,UCD,1.66,acre
,Rental Sprayer,WA,,UCD,1.75,acre
,Rental Fertilizer Applicator,WA,,UCD,1,acre
,Phosphorous (dry),WA,,UCD,1.17,lb
,Sulfur (dry),WA,,UCD,0.23,lb
,Ammonium Sulfate,WA,,UCD,0.02,oz
,Brox M,WA,,UCD,0.3,oz
,Excel 90,WA,,UCD,0.2,oz
,Osprey,WA,,UCD,3.55,oz
,Roundup,WA,,UCD,0.39,oz
,Starane-Salvo,WA,,UCD,0.43,oz
,Labor (Machine),WA,,UCD,20,hr
,Maintenance,WA,,UCD,4.08,
,Repair,WA,,UCD,8.24,
,Sprayer,WA,,UCD,1.75,
,Riper Shooter,WA,,UCD,2.5,
,Stuble Shredder,WA,,UCD,10,
,Nitrogen (dry),WA,,UCD,0.57,lb
,Disyston,WA,,UCD,0.13,GAL
,Karmex,WA,,UCD,1.2,lb
,Sencor,WA,,UCD,0.63,lb
,Sevin XLR Plus,WA,,UCD,0.25,GAL
,Treflan FP,WA,,UCD,0.38,GAL
,Spot Spray Roundup,WA,,UCD,0.13,GAL
,Wheat,WA,,UCD,0.15,lb
,Fuel - Diesel,WA,,UCD,1.75,gal
