state_fips,length,width,gvw
01   ,85,8,100000
02   ,,,
04   ,,,80000
05   ,60,8,105500
06   ,75,8,80000
08   ,110,8,85000
09   ,,,
10   ,,,80000
,,,80000
12   ,,,80000
13   ,100,8,80000
15   ,,,
16   ,115,8,105500
17   ,60,8,80000
18   ,,,80000
19   ,,,80000
20   ,85,8,85500
21   ,,,80000
22   ,,,88000
23   ,,,100000
24   ,,,80000
25   ,,,
26   ,,,160001
27   ,75,8,80000
28   ,,,80000
29   ,,,80000
30   ,,,132000
31   ,,,94000
32   ,,,129000
33   ,,,80000
34   ,,,80000
35   ,,,86400
36   ,,,
37   ,,,80000
38   ,,,105500
39   ,,,80000
40   ,,,90000
41   ,,,105500
42   ,,,80000
44   ,,,80000
45   ,,,80000
46   ,,,
47   ,,,80000
48   ,110,8,80000
49   ,,,129000
50   ,,,80000
51   ,,,80000
53   ,,,105500
54   ,,,80000
55   ,,,80000
56   ,,,117000
