state_fips,labor_type,m,b
01,farm,0.2568,-504.81
22,farm,0.295,-582.85
48,grind,0.071,-128.4
20,farm,0.4039,-796.87
40,farm,0.0186,-29.02
38,grind,0.339,-658.8
02,grind,-0.72,1462.9
34,truck,0.335,-652.5
30,truck,0.223,-431.9
32,grind,-0.132,282.5
24,grind,0.369,-723.6
56,plant,-0.023,61.8
13,truck,0.051,-86.1
56,farm,0.0868,-163.25
02,plant,-0.327,670.3
42,plant,0.209,-404.1
54,farm,0.3031,-596.82
55,truck,0.182,-346.3
12,plant,0.272,-532.1
09,plant,0.208,-401.6
28,bulk,0.029,-46
46,bulk,0.296,-582.3
27,bulk,0.814,-1616.1
08,grind,0.294,-571
21,truck,0.236,-456.9
16,truck,-0.098,211.3
56,grind,-0.397,814.5
46,plant,0.182,-353.2
18,bulk,0.363,-713.5
16,farm,0.2264,-444.26
11,farm,0.3031,-596.82
48,plant,0.161,-311.4
12,grind,0.162,-310.6
15,grind,-1.55,3126.8
21,bulk,0.5,-987.9
13,farm,0.1939,-380.51
20,bulk,0.694,-1378.2
30,farm,0.6393,-1269.36
05,farm,0.2368,-465.73
18,plant,0.272,-531
23,bulk,0.985,-1960.5
51,farm,0.2208,-432.11
16,plant,0.012,-13
19,truck,0.095,-174.8
05,bulk,0.245,-478.7
28,plant,0.127,-243
18,truck,0.298,-580.2
23,plant,0.418,-823.8
46,truck,0.02,-24.9
54,plant,-0.024,61.9
17,farm,0.6229,-1234.99
37,farm,0.0239,-39.13
31,plant,0.192,-371.9
33,plant,0.295,-578.7
23,farm,0.2672,-524.92
22,bulk,0.152,-293.7
11,bulk,0.175,-337.1
50,truck,0.464,-915
27,grind,1.161,-2305.7
54,truck,0.155,-296.7
55,grind,-0.016,50.9
24,truck,0.375,-734.4
04,bulk,-0.929,1873.3
44,grind,0.052,-85.6
02,farm,0.3031,-596.82
42,grind,-0.234,483.9
36,plant,0.211,-408.4
04,truck,0.301,-586.4
51,bulk,0.258,-504.8
09,truck,0.379,-740
33,grind,0.311,-607
19,plant,0.158,-304.3
30,plant,0.413,-815.2
54,bulk,0.337,-658.7
39,truck,0.277,-538.1
26,farm,0.0076,-3.4
25,plant,0.35,-685.8
38,truck,0.424,-834.6
02,bulk,0.372,-732.2
06,truck,0.336,-656.3
46,grind,0.411,-808.4
17,grind,-0.627,1278.5
50,plant,-0.243,499.5
31,farm,0.1986,-386.8
26,grind,0.617,-1217.6
47,truck,-0.064,144
45,farm,0.5554,-1102.86
06,grind,0.639,-1257.1
25,grind,0.939,-1857.1
28,grind,-0.208,429.6
04,farm,-0.0086,25.43
47,grind,0.164,-314.9
50,grind,0.65,-1288.1
32,truck,0.611,-1206.4
26,bulk,0.033,-53.6
10,farm,0.3031,-596.82
53,bulk,0.559,-1103.9
41,bulk,0.225,-436.9
23,grind,0.342,-670.9
55,bulk,0.848,-1685.5
01,truck,0.198,-380.5
34,bulk,0.491,-968.6
33,bulk,0.866,-1719.7
10,bulk,0.682,-1352.9
29,farm,0.5054,-1004.16
27,plant,0.317,-621
19,farm,0.2554,-500.27
50,bulk,0.883,-1756.9
04,grind,-0.287,593.6
29,bulk,0.412,-812
22,grind,0.27,-526.3
32,farm,0.3031,-596.82
47,plant,0.277,-541.4
45,plant,0.303,-595.6
22,plant,0.192,-372.6
19,grind,0.083,-149.4
44,bulk,0.472,-933.4
49,farm,-0.1239,258.92
09,bulk,0.135,-258.4
45,grind,0.134,-255.1
41,plant,0.377,-741.5
41,grind,-0.157,331.8
19,bulk,0.01,-7
36,farm,0.5386,-1068.63
20,plant,0.311,-610.5
53,truck,0.247,-477
45,truck,0.064,-111.5
35,bulk,0.381,-749.1
25,farm,0.3031,-596.82
21,grind,0.473,-931.7
55,plant,0.206,-398.3
44,farm,0.3031,-596.82
53,grind,0.271,-521.7
08,bulk,0.721,-1430.4
35,truck,0.488,-963
36,bulk,0.437,-863.5
48,bulk,0.211,-410.9
56,bulk,-0.042,102.9
40,plant,0.253,-493.9
11,truck,0.448,-881.3
24,plant,0.308,-603.1
01,plant,0.063,-113.8
46,farm,0.3089,-608.17
48,farm,0.2718,-536.98
05,truck,0.314,-613.9
06,plant,0.461,-907.8
12,truck,0.164,-314
47,bulk,0.248,-483.3
49,truck,0.335,-654.5
23,truck,0.292,-569.9
51,truck,0.141,-266.5
18,grind,0.457,-896.8
33,farm,0.3031,-596.82
11,plant,0.091,-168.1
49,bulk,0.757,-1501.9
39,plant,0.115,-217.4
10,grind,-0.241,498.5
45,bulk,0.308,-604.7
22,truck,0.062,-110.1
25,truck,0.371,-724.6
51,grind,0.513,-1014.2
42,farm,1.1286,-2246.79
40,bulk,0.054,-97.7
36,grind,0.281,-544.5
47,farm,0.2532,-498.8
31,truck,0.071,-125.7
08,plant,0.411,-810.1
32,bulk,0.696,-1380.9
50,farm,-0.0207,52.56
05,plant,0.245,-479.4
33,truck,0.695,-1375.7
37,truck,0.276,-536.6
10,plant,-0.023,60
12,bulk,0.485,-959.8
56,truck,0.613,-1213
09,farm,0.3031,-596.82
06,bulk,0.749,-1487
37,grind,0.088,-162
38,bulk,0.116,-219.7
35,plant,0.138,-264.3
39,grind,-0.637,1292
51,plant,0.168,-324.2
08,truck,0.487,-959
17,truck,0.232,-446.7
41,farm,0.5968,-1184.43
20,grind,0.364,-713.7
13,bulk,0.514,-1017.8
01,grind,-0.478,972.3
01,bulk,0.277,-542.3
42,truck,0.079,-140.9
17,bulk,-0.376,765.8
36,truck,0.394,-771
34,grind,-0.255,531.4
24,bulk,0.19,-368.3
31,grind,0.384,-752.1
17,plant,0.281,-548.3
06,farm,0.1507,-292.41
02,truck,0.211,-402.5
04,plant,0.23,-447.9
29,plant,0.292,-571.6
37,bulk,0.592,-1174.4
26,plant,0.256,-496.2
21,farm,-0.0221,55.53
44,truck,0.477,-938
09,grind,0.891,-1765.7
20,truck,0.197,-378.5
28,farm,-0.1711,351.57
24,farm,0.3552,-698.1
05,grind,0.669,-1326.3
35,grind,-0.376,770.5
39,bulk,0.387,-761.2
40,truck,0.275,-535.9
13,plant,0.276,-540
26,truck,0.447,-877.2
15,truck,0.319,-621.2
30,grind,0.237,-456.4
49,grind,0.036,-56.7
15,plant,0.636,-1258.3
15,farm,0.1425,-274.85
21,plant,0.361,-710.3
38,farm,0.5581,-1107.15
39,farm,0.4961,-981.67
13,grind,0.043,-71
08,farm,1.0275,-2046.73
