year,fips,irr-land-rent
2014,06013,180
2014,06053,1520
2014,06055,1100
2014,06000,449
2014,06069,520
2014,06079,1100
2014,06081,445
2014,06085,600
2014,06087,1820
2014,06097,975
2014,06049,288
2014,06000,135
2014,06023,320
2014,06000,342
2014,06007,305
2014,06011,265
2014,06021,222
2014,06067,243
2014,06095,156
2014,06101,275
2014,06103,250
2014,06113,238
2014,06115,295
2014,06019,292
2014,06029,341
2014,06031,350
2014,06039,307
2014,06047,286
2014,06077,285
2014,06099,310
2014,06107,310
2014,06005,155
2014,06051,286
2014,06000,204
2014,06061,239
2014,06089,281
2014,06093,297
2014,06025,285
2014,06037,590
2014,06059,1200
2014,06065,350
2014,06071,218
2014,06073,1210
2014,06083,1600
2014,06111,2350
2014,16005,147
2014,16011,226
2014,16019,137
2014,16023,78
2014,16029,128
2014,16037,62
2014,16041,99
2014,16043,139
2014,16051,135
2014,16059,61
2014,16065,139
2014,16000,96
2014,16077,208
2014,16081,60
2014,16000,117
2014,16013,104
2014,16031,244
2014,16047,237
2014,16053,266
2014,16063,205
2014,16067,281
2014,16083,233
2014,16001,160
2014,16027,185
2014,16039,242
2014,16045,91.5
2014,16000,48
2014,16073,161
2014,16075,164
2014,16087,138
2014,41001,136
2014,41000,307
2014,41061,111
2014,41003,124
2014,41005,233
2014,41039,128
2014,41043,139
2014,41047,186
2014,41051,255
2014,41053,144
2014,41057,172
2014,41067,184
2014,41071,185
2014,41013,96.5
2014,41017,94
2014,41023,37.5
2014,41031,113
2014,41035,180
2014,41037,86
2014,41045,165
2014,41000,47
2014,53005,414
2014,53007,333
2014,53037,162
2014,53039,192
2014,53047,201
2014,53077,183
2014,53001,350
2014,53017,210
2014,53021,433
2014,53025,372
2014,53043,213
2014,53000,80
2014,53000,270
2014,53011,227
2014,53027,62.5
2014,53033,160
2014,53000,120
2014,53053,333
2014,53057,263
2014,53061,269
2014,53067,386
2014,53073,408
2013,06001,228
2013,06013,156
2013,06053,1250
2013,06055,960
2013,06000,633
2013,06069,467
2013,06079,917
2013,06081,417
2013,06085,445
2013,06087,1590
2013,06097,980
2013,06049,205
2013,06000,155
2013,06023,293
2013,06000,244
2013,06007,307
2013,06011,270
2013,06021,220
2013,06000,284
2013,06067,243
2013,06095,155
2013,06101,275
2013,06113,239
2013,06019,258
2013,06029,203
2013,06031,375
2013,06039,280
2013,06047,286
2013,06077,260
2013,06099,305
2013,06107,312
2013,06005,163
2013,06009,250
2013,06000,206
2013,06000,285
2013,06093,298
2013,06025,291
2013,06037,600
2013,06059,1310
2013,06065,361
2013,06071,216
2013,06073,1030
2013,06083,1350
2013,06111,2510
2013,16005,146
2013,16011,205
2013,16019,132
2013,16023,106
2013,16029,108
2013,16037,54
2013,16041,83.5
2013,16043,94
2013,16051,129
2013,16059,59.5
2013,16065,103
2013,16071,79.5
2013,16000,68
2013,16077,158
2013,16000,73
2013,16013,136
2013,16031,237
2013,16047,228
2013,16053,254
2013,16063,202
2013,16067,278
2013,16083,224
2013,16001,159
2013,16027,180
2013,16045,90.5
2013,16000,202
2013,16073,159
2013,16075,169
2013,16087,137
