state,length,width,height,gvw,sales_tax,y2000_onroad,y2000_excise,y2000_offroad,y2001_onroad,y2001_excise,y2001_offroad,y2002_onroad,y2002_excise,y2002_offroad,y2003_onroad,y2003_excise,y2003_offroad,y2004_onroad,y2004_excise,y2004_offroad,y2005_onroad,y2005_excise,y2005_offroad,y2006_onroad,y2006_excise,y2006_offroad,y2007_onroad,y2007_excise,y2007_offroad,y2008_onroad,y2008_excise,y2008_offroad,y2009_onroad,y2009_excise,y2009_offroad,y2010_onroad,y2010_excise,y2010_offroad,y2011_onroad,y2011_excise,y2011_offroad,y2012_onroad,y2012_excise,y2012_offroad,y2013_onroad,y2013_excise,y2013_offroad,y2014_onroad,y2014_excise,y2014_offroad,y2015_onroad,y2015_excise,y2015_offroad,y2016_onroad,y2016_excise,y2016_offroad,y2017_onroad,y2017_excise,y2017_offroad,y2018_onroad,y2018_excise,y2018_offroad,y2019_onroad,y2019_excise,y2019_offroad,y2020_onroad,y2020_excise,y2020_offroad,y2021_onroad,y2021_excise,y2021_offroad,y2022_onroad,y2022_excise,y2022_offroad,y2023_onroad,y2023_excise,y2023_offroad,y2024_onroad,y2024_excise,y2024_offroad,y2025_onroad,y2025_excise,y2025_offroad,y2026_onroad,y2026_excise,y2026_offroad,y2027_onroad,y2027_excise,y2027_offroad,y2028_onroad,y2028_excise,y2028_offroad,y2029_onroad,y2029_excise,y2029_offroad,y2030_onroad,y2030_excise,y2030_offroad
Alabama,85,8.5,14,100000,4.00,1.44,0.43,1.01,1.35,0.43,0.91,1.28,0.43,0.84,1.45,0.43,1.02,1.74,0.42,1.32,2.35,0.43,1.92,2.66,0.43,2.22,2.82,0.45,2.37,3.47,0.45,3.02,3.47,0.45,3.02,3.47,0.45,3.02,3.47,0.45,3.02,3.47,0.45,3.02,3.47,0.45,3.02,3.47,0.45,3.02,3.47,0.45,3.02,3.47,0.45,3.02,3.47,0.45,3.02,3.47,0.45,3.02,3.47,0.45,3.02,3.47,0.45,3.02,3.47,0.45,3.02,3.47,0.45,3.02,3.47,0.45,3.02,3.47,0.45,3.02,3.47,0.45,3.02,3.47,0.45,3.02,3.47,0.45,3.02,3.47,0.45,3.02,3.47,0.45,3.02,3.47,0.45,3.02
Alaska,,,,,0.00,1.61,0.32,1.28,1.50,0.32,1.17,1.40,0.32,1.08,1.61,0.32,1.29,2.02,0.32,1.70,2.57,0.32,2.24,2.87,0.32,2.55,3.04,0.32,2.72,3.58,0.32,3.26,3.58,0.32,3.26,3.58,0.32,3.26,3.58,0.32,3.26,3.58,0.32,3.26,3.58,0.32,3.26,3.58,0.32,3.26,3.58,0.32,3.26,3.58,0.32,3.26,3.58,0.32,3.26,3.58,0.32,3.26,3.58,0.32,3.26,3.58,0.32,3.26,3.58,0.32,3.26,3.58,0.32,3.26,3.58,0.32,3.26,3.58,0.32,3.26,3.58,0.32,3.26,3.58,0.32,3.26,3.58,0.32,3.26,3.58,0.32,3.26,3.58,0.32,3.26,3.58,0.32,3.26
Arizona,,,,80000,5.60,1.61,0.50,1.10,1.50,0.50,0.99,1.40,0.50,0.90,1.61,0.50,1.11,2.02,0.50,1.52,2.57,0.50,2.06,2.87,0.42,2.45,3.04,0.42,2.62,3.58,0.42,3.16,3.58,0.42,3.16,3.58,0.42,3.16,3.58,0.42,3.16,3.58,0.42,3.16,3.58,0.42,3.16,3.58,0.42,3.16,3.58,0.42,3.16,3.58,0.42,3.16,3.58,0.42,3.16,3.58,0.42,3.16,3.58,0.42,3.16,3.58,0.42,3.16,3.58,0.42,3.16,3.58,0.42,3.16,3.58,0.42,3.16,3.58,0.42,3.16,3.58,0.42,3.16,3.58,0.42,3.16,3.58,0.42,3.16,3.58,0.42,3.16,3.58,0.42,3.16,3.58,0.42,3.16
Arkansas,60,8.5,13.5,105500,6.00,1.44,0.47,0.97,1.35,0.47,0.87,1.28,0.47,0.81,1.45,0.47,0.98,1.74,0.47,1.27,2.35,0.47,1.88,2.66,0.47,2.19,2.82,0.47,2.35,3.47,0.47,3.00,3.47,0.47,3.00,3.47,0.47,3.00,3.47,0.47,3.00,3.47,0.47,3.00,3.47,0.47,3.00,3.47,0.47,3.00,3.47,0.47,3.00,3.47,0.47,3.00,3.47,0.47,3.00,3.47,0.47,3.00,3.47,0.47,3.00,3.47,0.47,3.00,3.47,0.47,3.00,3.47,0.47,3.00,3.47,0.47,3.00,3.47,0.47,3.00,3.47,0.47,3.00,3.47,0.47,3.00,3.47,0.47,3.00,3.47,0.47,3.00,3.47,0.47,3.00,3.47,0.47,3.00
California,75,8.5,14,80000,7.25,1.68,0.42,1.25,1.55,0.42,1.12,1.45,0.42,1.02,1.65,0.42,1.23,2.09,0.42,1.67,2.60,0.42,2.18,2.93,0.42,2.51,3.09,0.42,2.67,3.63,0.42,3.21,3.63,0.42,3.21,3.63,0.42,3.21,3.63,0.42,3.21,3.63,0.42,3.21,3.63,0.42,3.21,3.63,0.42,3.21,3.63,0.42,3.21,3.63,0.42,3.21,3.63,0.42,3.21,3.63,0.42,3.21,3.63,0.42,3.21,3.63,0.42,3.21,3.63,0.42,3.21,3.63,0.42,3.21,3.63,0.42,3.21,3.63,0.42,3.21,3.63,0.42,3.21,3.63,0.42,3.21,3.63,0.42,3.21,3.63,0.42,3.21,3.63,0.42,3.21,3.63,0.42,3.21
Colorado,110,8.5,16,85000,2.90,1.53,0.45,1.08,1.45,0.45,1.00,1.34,0.45,0.89,1.53,0.45,1.08,1.86,0.45,1.41,2.44,0.45,2.00,2.76,0.45,2.31,2.98,0.45,2.53,3.46,0.45,3.01,3.46,0.45,3.01,3.46,0.45,3.01,3.46,0.45,3.01,3.46,0.45,3.01,3.46,0.45,3.01,3.46,0.45,3.01,3.46,0.45,3.01,3.46,0.45,3.01,3.46,0.45,3.01,3.46,0.45,3.01,3.46,0.45,3.01,3.46,0.45,3.01,3.46,0.45,3.01,3.46,0.45,3.01,3.46,0.45,3.01,3.46,0.45,3.01,3.46,0.45,3.01,3.46,0.45,3.01,3.46,0.45,3.01,3.46,0.45,3.01,3.46,0.45,3.01,3.46,0.45,3.01
Connecticut,,,,,6.00,1.62,0.42,1.19,1.49,0.42,1.07,1.40,0.50,0.90,1.64,0.50,1.14,1.92,0.50,1.42,2.51,0.50,2.01,2.82,0.50,2.31,2.98,0.61,2.37,3.74,0.61,3.12,3.74,0.61,3.12,3.74,0.61,3.12,3.74,0.61,3.12,3.74,0.61,3.12,3.74,0.61,3.12,3.74,0.61,3.12,3.74,0.61,3.12,3.74,0.61,3.12,3.74,0.61,3.12,3.74,0.61,3.12,3.74,0.61,3.12,3.74,0.61,3.12,3.74,0.61,3.12,3.74,0.61,3.12,3.74,0.61,3.12,3.74,0.61,3.12,3.74,0.61,3.12,3.74,0.61,3.12,3.74,0.61,3.12,3.74,0.61,3.12,3.74,0.61,3.12,3.74,0.61,3.12
Delaware,,,,80000,0.00,1.61,0.46,1.14,1.48,0.46,1.01,1.40,0.46,0.94,1.63,0.46,1.17,1.90,0.46,1.44,2.50,0.46,2.03,2.81,0.46,2.35,2.97,0.46,2.50,3.68,0.46,3.22,3.68,0.46,3.22,3.68,0.46,3.22,3.68,0.46,3.22,3.68,0.46,3.22,3.68,0.46,3.22,3.68,0.46,3.22,3.68,0.46,3.22,3.68,0.46,3.22,3.68,0.46,3.22,3.68,0.46,3.22,3.68,0.46,3.22,3.68,0.46,3.22,3.68,0.46,3.22,3.68,0.46,3.22,3.68,0.46,3.22,3.68,0.46,3.22,3.68,0.46,3.22,3.68,0.46,3.22,3.68,0.46,3.22,3.68,0.46,3.22,3.68,0.46,3.22,3.68,0.46,3.22
Dist. Of Columbia,,,,80000,5.75,1.61,0.44,1.16,1.48,0.44,1.03,1.40,0.44,0.96,1.63,0.44,1.19,1.90,0.44,1.46,2.50,0.44,2.05,2.81,0.47,2.34,2.97,0.47,2.50,3.68,0.47,3.22,3.68,0.47,3.22,3.68,0.47,3.22,3.68,0.47,3.22,3.68,0.47,3.22,3.68,0.47,3.22,3.68,0.47,3.22,3.68,0.47,3.22,3.68,0.47,3.22,3.68,0.47,3.22,3.68,0.47,3.22,3.68,0.47,3.22,3.68,0.47,3.22,3.68,0.47,3.22,3.68,0.47,3.22,3.68,0.47,3.22,3.68,0.47,3.22,3.68,0.47,3.22,3.68,0.47,3.22,3.68,0.47,3.22,3.68,0.47,3.22,3.68,0.47,3.22,3.68,0.47,3.22
Florida,,,,80000,6.00,1.45,0.50,0.95,1.35,0.50,0.84,1.28,0.51,0.77,1.47,0.35,1.13,1.75,0.39,1.37,2.36,0.39,1.97,2.67,0.39,2.28,2.83,0.40,2.43,3.51,0.40,3.11,3.51,0.40,3.11,3.51,0.40,3.11,3.51,0.40,3.11,3.51,0.40,3.11,3.51,0.40,3.11,3.51,0.40,3.11,3.51,0.40,3.11,3.51,0.40,3.11,3.51,0.40,3.11,3.51,0.40,3.11,3.51,0.40,3.11,3.51,0.40,3.11,3.51,0.40,3.11,3.51,0.40,3.11,3.51,0.40,3.11,3.51,0.40,3.11,3.51,0.40,3.11,3.51,0.40,3.11,3.51,0.40,3.11,3.51,0.40,3.11,3.51,0.40,3.11,3.51,0.40,3.11
