location,commodity,price,unit
06,BARLEY,5.09,$ / BU
06,"BEANS, DRY EDIBLE",54.86,$ / CWT
06,HAY,179.50,$ / TON
06,"HAY, ALFALFA",189.00,$ / TON
06,"HAY, (EXCL ALFALFA)",148.13,$ / TON
06,OATS,3.57,$ / BU
06,POTATOES,13.44,$ / CWT
06,"POTATOES, FALL",8.53,$ / CWT
06,"POTATOES, SPRING",14.69,$ / CWT
06,"POTATOES, SUMMER",13.47,$ / CWT
06,"POTATOES, WINTER",18.87,$ / CWT
06,SUGARBEETS,56.71,$ / TON
06,WHEAT,6.70,$ / BU
06,"WHEAT, SPRING, DURUM",6.29,$ / BU
06,"WHEAT, WINTER",5.77,$ / BU
16,BARLEY,5.33,$ / BU
16,"BEANS, DRY EDIBLE",32.61,$ / CWT
16,CANOLA,19.42,$ / CWT
16,HAY,171.63,$ / TON
16,"HAY, ALFALFA",174.38,$ / TON
16,"HAY, (EXCL ALFALFA)",136.50,$ / TON
16,LENTILS,28.84,$ / CWT
16,OATS,2.80,$ / BU
16,POTATOES,7.20,$ / CWT
16,"POTATOES, FALL",7.20,$ / CWT
16,SUGARBEETS,48.40,$ / TON
16,WHEAT,6.46,$ / BU
16,"WHEAT, SPRING, DURUM",7.55,$ / BU
16,"WHEAT, SPRING, (EXCL DURUM)",6.77,$ / BU
16,"WHEAT, WINTER",6.29,$ / BU
30,BARLEY,5.28,$ / BU
30,"BEANS, DRY EDIBLE",30.56,$ / CWT
30,CANOLA,19.18,$ / CWT
30,HAY,109.38,$ / TON
30,"HAY, ALFALFA",110.50,$ / TON
30,"HAY, (EXCL ALFALFA)",103.38,$ / TON
30,LENTILS,23.78,$ / CWT
30,OATS,3.00,$ / BU
30,POTATOES,11.71,$ / CWT
30,"POTATOES, FALL",11.71,$ / CWT
30,SUGARBEETS,54.63,$ / TON
30,WHEAT,6.79,$ / BU
30,"WHEAT, SPRING, DURUM",8.11,$ / BU
30,"WHEAT, SPRING, (EXCL DURUM)",7.12,$ / BU
30,"WHEAT, WINTER",6.39,$ / BU
41,BARLEY,4.21,$ / BU
41,"BEANS, DRY EDIBLE",35.84,$ / CWT
41,CANOLA,20.47,$ / CWT
41,HAY,189.38,$ / TON
41,"HAY, ALFALFA",190.00,$ / TON
41,"HAY, (EXCL ALFALFA)",186.38,$ / TON
41,OATS,3.40,$ / BU
41,POTATOES,8.11,$ / CWT
41,"POTATOES, FALL",8.11,$ / CWT
41,SUGARBEETS,48.40,$ / TON
41,WHEAT,6.83,$ / BU
41,"WHEAT, SPRING, (EXCL DURUM)",7.40,$ / BU
41,"WHEAT, WINTER",6.72,$ / BU
53,BARLEY,4.11,$ / BU
53,"BEANS, DRY EDIBLE",34.61,$ / CWT
53,CANOLA,22.15,$ / CWT
53,HAY,190.25,$ / TON
53,"HAY, ALFALFA",186.25,$ / TON
53,"HAY, (EXCL ALFALFA)",202.13,$ / TON
53,LENTILS,29.55,$ / CWT
53,OATS,2.98,$ / BU
53,POTATOES,7.45,$ / CWT
53,"POTATOES, FALL",7.45,$ / CWT
53,SUGARBEETS,39.45,$ / TON
53,WHEAT,6.67,$ / BU
53,"WHEAT, SPRING, (EXCL DURUM)",7.39,$ / BU
53,"WHEAT, WINTER",6.49,$ / BU
