State,Crop,Irrigation Info,Machine Hours,Non-machine hours,Total Hours,,Note: 2009 Cost and Return Studies Data from Mark and Santiago,,,,,
California,Alfalfa,Machine and Non-machine hours,0.58,1.82,2.4,,,,,,,
California,Alfalfa Hay ,,,,,,,,,,,Commodity is not in master sheet
California,Alfalfa Haylage ,,,,,,,,,,,Commodity that we do not have labor hours for 
California,Barley ,,,,,,,,,,,
California,"Beas, Dry Edible ",,,,,,,,,,,
California,Asparagus,Machine and Non-machine hours,19.4,12.14,31.54,,,,,,,
California,Blueberries,Machine and Non-machine hours,24.72,1113.3,1138.02,,,,,,,
California,Broccoli,Machine and Non-machine hours,4.56,5,9.56,,,,,,,
California,Corn Grain,Machine and Non-machine hours,3.36,1.95,5.31,,,,,,,
California,Corn Silage,Machine and Non-machine hours,1.85,0.9,2.75,,,,,,,
California,Cotton,Machine and Non-machine hours,4.73,6.8,11.53,,,,,,,
California,GrassHay,Machine and Non-machine hours,2.78,0.5,3.28,,,,,,,
California,Grass Haylage,,,,,,,,,,,
California,Oats,,,,,,,,,,,
California,Potatoes ,,,,,,,,,,,
California,Sorghum,Machine and Non-machine hours,1.67,0.5,2.17,,,,,,,
California,Sudangrass,Machine and Non-machine hours,1.02,0.5,1.52,,,,,,,
California,Spring Wheat,,,,,,,,,,,
California,Winter Wheat,Machine and Non-machine hours,0.82,0.75,1.57,,,,,,,
Idaho ,Alfalfa Hay ,,,,,,,,,,,
Idaho ,Alfalfa Haylage ,,,,,,,,,,,
Idaho,Barley,Machine Labor,1.62,0,1.62,,,,,,,
Idaho,Canola,Machine Labor,1.27,0,1.27,,,,,,,
Idaho,Corn Grain,Machine and Non-machine hours,2.6,4.25,6.85,,,,,,,
Idaho,Corn Silage,Machine and Non-machine hours,2.6,3.8,6.4,,,,,,,
Idaho,"Beas, Dry Edible ",Machine and Non-machine hours,1.75,1.06,2.81,,,,,,,
Idaho,GrassHay,Machine Labor,2.78,0,2.78,,,,,,,
Idaho,Grass Haylage,,,,,,,,,,,
Idaho,Lentils,Machine Labor,1.2,0,1.2,,,,,,,
Idaho,Oats,Machine Labor,1.22,0,1.22,,,,,,,
Idaho,Potatoes,Machine and Non-machine hours,6.3,4.86,11.16,,,,,,,
Idaho,Sugarbeets,Machine and Non-machine hours,8.25,6.9,15.15,,,,,,,
Idaho ,Spring Wheat,,,,,,,,,,,
Idaho,Winter Wheat,Machine Labor,1.3,0,1.3,,,,,,,
Oregon,Alfalfa,Machine and Non-machine hours,5.04,5.77,10.81,,,,,,,
Oregon,"Beas, Dry Edible ",,,,,,,,,,,
Oregon,Barley ,,,,,,,,,,,
Oregon,Blueberries,Machine Labor,100,0,100,,,,,,,
Oregon,Canola,Machine and Non-machine hours,0.95,25,25.95,,,,,,,
Oregon,Corn Grain,Machine and Non-machine hours,2.6,4.25,6.85,,,,,,,
Oregon,Corn Silage ,,,,,,,,,,,
Oregon,Fescue Seet,Machine and Non-machine hours,1.27,0.19,1.46,,,,,,,
Oregon,GrassHay,,,,,,,,,,,
Oregon,Grass Haylage,,,,,,,,,,,
Oregon,Oats,Machine and Non-machine hours,0.68,0.21,0.89,,,,,,,
Oregon,Orchard Grass,Machine and Non-machine hours,1.09,0,1.09,,,,,,,
Oregon,Potatoes ,,,,,,,,,,,
Oregon,Ryegrass Seed,Machine and Non-machine hours,1.56,0.24,1.8,,,,,,,
Oregon,Spring Wheat,Machine and Non-machine hours,0.74,0.21,0.95,,,,,,,
Oregon,Sugarbeets,,,,,,,,,,,
Oregon,Winter Wheat,Machine and Non-machine hours,0.9,0.21,1.11,,,,,,,
Washington,Alfalfa,No labor,0,0,0,,,,,,,
Washington,Alfalfa Haylage ,,,,,,,,,,,
Washington,Asparagus,Machine and Non-machine TOTAL COST,,,0,,,,,,,
Washington,"Beas, Dry Edible ",,,,,,,,,,,
Washington,Corn Grain ,,,,,,,,,,,
Washington,Corn Silage ,,,,,,,,,,,
Washington,Barley,Machine Labor,0.97,0,0.97,,,,,,,
Washington,Canola,Machine and Non-machine hours,0.99,0,0.99,,,,,,,
Washington,Grass Hay ,,,,,,,,,,,
Washington,Grass Haylage,,,,,,,,,,,
Washington,Lentils,Machine Labor,0.95,0,0.95,,,,,,,
Washington,Oats,,,,,,,,,,,
Washington,Potatoes ,,,,,,,,,,,
Washington,Spring Wheat,Machine Labor,0.64,0,0.64,,,,,,,
Washington,Winter Wheat,Machine Labor,1.16,0,1.16,,,,,,,
