material,location,phase,operation,commodity,unit,amount
10-34-00,CA,,,"CORN, GRAIN",[lb_av],200
80-00-00,CA,,,"CORN, GRAIN",[lb_av],240
Corn Seed,CA,,,"CORN, GRAIN",thou,33
Fuel - Diesel,CA,,,"CORN, GRAIN",[gal_us],27.91
Fuel - Gas,CA,,,"CORN, GRAIN",[gal_us],0.6
Ground Application,CA,,,"CORN, GRAIN",[acr_us],1
Harvest,CA,,,"CORN, GRAIN",[ston_av],26
Harvest for Grain,CA,,,"CORN, GRAIN",[ston_av],5
Haul Local,CA,,,"CORN, GRAIN",[scwt_av],180
Labor (Machine),CA,,,"CORN, GRAIN",h,3.36
Labor (non-machine),CA,,,"CORN, GRAIN",h,1.95
Lorsban 15G,CA,,Pest Control,"CORN, GRAIN",[oz_av],2
Oberon 25C,CA,,Pest Control,"CORN, GRAIN",[foz_us],7
oes452091,CA,,,"CORN, GRAIN",h,3.36
oes452092,CA,,,"CORN, GRAIN",h,1.95
Plant,CA,,,"CORN, GRAIN",[acr_us],1
Prowl H20,CA,,Pest Control,"CORN, GRAIN",[pt_us],3
Water,CA,,,"CORN, GRAIN",[acr_us].[in_us],44
Yukon,CA,,,"CORN, GRAIN",[oz_av],6
