material,location,phase,operation,commodity,unit,amount
13-0-45,CA,,,COTTON,[lb_av],10
Air Application,CA,,Pest Control,COTTON,[acr_us]/[acr_us],6
Alcala,CA,,Pest Control,COTTON,[lb_av],16
Assail 70WP,CA,,Pest Control,COTTON,[oz_av],1.1
Carbine 50WG,CA,,Pest Control,COTTON,[oz_av],2.5
Cotton Assesment,CA,,,COTTON,bale,3.25
Defol 5,CA,,Pest Control,COTTON,[gal_us],1
Finish 6 Pro,CA,,Pest Control,COTTON,[pt_us],2
Fuel - Diesel,CA,,,COTTON,[gal_us],34.43
Ginstar,CA,,Pest Control,COTTON,[foz_us],10
Labor (Machine),CA,,,COTTON,h,4.73
Labor (non-machine),CA,,,COTTON,h,6.8
Leverage,CA,,Pest Control,COTTON,[foz_us],5
Mepex Gin Our,CA,,Pest Control,COTTON,[foz_us],2
oes452091,CA,,,COTTON,h,4.73
oes452092,CA,,,COTTON,h,6.8
Orthene,CA,,Pest Control,COTTON,[oz_av],3.25
Roundup Ultra Max,CA,,Pest Control,COTTON,[foz_us],32
Shark EW,CA,,Pest Control,COTTON,[foz_us],1.5
Staple,CA,,Pest Control,COTTON,[foz_us],0.38
Triflurex HFP,CA,,Pest Control,COTTON,[pt_us],1.5
UN32,CA,,,COTTON,[lb_av],180
Water,CA,,,COTTON,[acr_us].[in_us],30
Zephyr,CA,,,COTTON,[foz_us],8
