material,location,phase,operation,commodity,unit,amount
46-0-0,CA,,,GRASS AND HAY,[lb_av],100
Air Application,CA,,Pest Control,GRASS AND HAY,[acr_us]/[acr_us],1
Baling,CA,,Pest Control,GRASS AND HAY,bale,100
Clarity,CA,,Pest Control,GRASS AND HAY,[pt_us],1
Fuel - Diesel,CA,,,GRASS AND HAY,[gal_us],6.73
Fuel - Gas,CA,,,GRASS AND HAY,[gal_us],3.59
Labor (Machine),CA,,,GRASS AND HAY,h,2.78
Labor (non-machine),CA,,,GRASS AND HAY,h,0.5
Maintenance,CA,,,GRASS AND HAY,each,1
oes452091,CA,,,GRASS AND HAY,h,2.78
oes452092,CA,,,GRASS AND HAY,h,0.5
Rake,CA,,,GRASS AND HAY,[acr_us],2
Repair,CA,,,GRASS AND HAY,each,1
Swathing,CA,,,GRASS AND HAY,[acr_us],2
Water,CA,,,GRASS AND HAY,[acr_us].[in_us],25
