material,location,phase,commodity,unit,amount
M90,ID,,CANOLA,[oz_av],1.5
M90,ID,,CANOLA,[oz_av],1.5
Roundup,ID,,CANOLA,[foz_us],12
Roundup,ID,,CANOLA,[foz_us],12
Ammonium Sulfate,ID,,CANOLA,[oz_av],50
Ammonium Sulfate,ID,,CANOLA,[oz_av],50
Capture,ID,,CANOLA,[acr_us],5
Labor (Machine),ID,,CANOLA,[acr_us],1.27
Lubricants,ID,,CANOLA,[acr_us],1
Repair,ID,,CANOLA,[acr_us],1
Rental Sprayer,ID,,CANOLA,[acr_us],1
Custom Aerial Spray,ID,,CANOLA,[acr_us],1
Rental Ripper Shooter,ID,,CANOLA,[acr_us],1
Repair,ID,,CANOLA,[acr_us],1
Canola,ID,,CANOLA,[lb_av],1500
Nitrogen (dry),ID,,CANOLA,[lb_av],100
Phosphorous (dry),ID,,CANOLA,[lb_av],15
Sulfur (dry),ID,,CANOLA,[lb_av],15
Canola,ID,,CANOLA,[lb_av],4
Canola,ID,,CANOLA,[lb_av],1500
Nitrogen (dry),ID,,CANOLA,[lb_av],100
Phosphorous (dry),ID,,CANOLA,[lb_av],15
Sulfur (dry),ID,,CANOLA,[lb_av],15
Canola,ID,,CANOLA,[lb_av],4
Capture,ID,,CANOLA,[acr_us],5
Labor (Machine),ID,,CANOLA,[acr_us],1.27
Lubricants,ID,,CANOLA,[acr_us],1
Rental Sprayer,ID,,CANOLA,[acr_us],1
Custom Aerial Spray,ID,,CANOLA,[acr_us],1
Rental Ripper Shooter,ID,,CANOLA,[acr_us],1
oes452091,ID,,CANOLA,h,1.27
oes452092,ID,,CANOLA,h,0
Fuel,ID,,CANOLA,[gal_us],7.69
Fuel,ID,,CANOLA,[gal_us],7.69
