material,location,phase,operation,commodity,unit,amount
Ammonium Sulfate,ID,,Pest Control,"CORN, GRAIN",[lb_av],2
Corn Seed,ID,,,"CORN, GRAIN",bag,0.45
Counter 15G L-N-L,ID,,Pest Control,"CORN, GRAIN",[lb_av],8
Crop Insurance,ID,,,"CORN, GRAIN",[acr_us],1
Dry Nitrogen,ID,,,"CORN, GRAIN",[lb_av],210
Dry P2O5,ID,,,"CORN, GRAIN",[lb_av],80
Fuel - Diesel,ID,,,"CORN, GRAIN",[gal_us],13
Fuel - Gas,ID,,,"CORN, GRAIN",[gal_us],1.25
Ground Application,ID,,,"CORN, GRAIN",[acr_us],2
Harvest,ID,,,"CORN, GRAIN",[ston_av],30
Harvest for Grain,ID,,,"CORN, GRAIN",[acr_us],1
Haul Local,ID,,,"CORN, GRAIN",[bu_us],190
K20,ID,,,"CORN, GRAIN",[lb_av],100
Labor (Machine),ID,,,"CORN, GRAIN",h,2.6
Labor (non-machine),ID,,,"CORN, GRAIN",h,4.25
Lube,ID,,,"CORN, GRAIN",[acr_us],1
Micro-Tech,ID,,Pest Control,"CORN, GRAIN",[qt_us],2
oes452091,ID,,,"CORN, GRAIN",h,2.6
oes452092,ID,,,"CORN, GRAIN",h,4.25
Repair,ID,,,"CORN, GRAIN",[acr_us],1
Roundup Original Max,ID,,Pest Control,"CORN, GRAIN",[foz_us],40
Sulfur,ID,,,"CORN, GRAIN",[lb_av],30
Water,ID,,,"CORN, GRAIN",[acr_us],1
