material,location,phase,commodity,unit,amount
Pursuit,ID,,LENTIL,oz,3
Prowl,ID,,LENTIL,oz,24
Ammonium Sulfate,ID,,LENTIL,oz,50
M90,ID,,LENTIL,oz,1.5
Labor (Machine),ID,,LENTIL,[acr_us],1.2
Lubricants,ID,,LENTIL,[acr_us],1
Repair,ID,,LENTIL,[acr_us],1
Rental Sprayer,ID,,LENTIL,[acr_us],1
Custom Aerial Spray,ID,,LENTIL,[acr_us],1
Crop Insurance,ID,,LENTIL,[acr_us],1
oes452091,ID,,LENTIL,h,1.2
oes452092,ID,,LENTIL,h,0
Fuel,ID,,LENTIL,[gal_us],7.1
Dimethoate,ID,,LENTIL,[pt_us],1
Far-GO,ID,,LENTIL,[qt_us],1
Lentil Seed,ID,,LENTIL,[lb_av],45
