material,location,phase,operation,commodity,unit,amount
AMS,ID,,Pest Control,SUGARBEETS,[lb_av],2.4
Consultant,ID,,,SUGARBEETS,[acr_us],1
Crop Insurance,ID,,,SUGARBEETS,[acr_us],1
Custom Air Spray - 5G,ID,,,SUGARBEETS,[acr_us],1
Custom Fertilize,ID,,,SUGARBEETS,[acr_us],1
Custom Fumigate - Deep,ID,,,SUGARBEETS,[acr_us],1
Custom Sidedress,ID,,,SUGARBEETS,[acr_us],1
Dry Nitrogen,ID,,,SUGARBEETS,[lb_av],100
Dry P2O5,ID,,,SUGARBEETS,[lb_av],50
Eptam 7EC,ID,,Pest Control,SUGARBEETS,[pt_us],3.7
Fuel - Diesel,ID,,,SUGARBEETS,[gal_us],33.6
Fuel - Gas,ID,,,SUGARBEETS,[gal_us],2.5
Gen 25WG,ID,,Pest Control,SUGARBEETS,[foz_us],6.5
Headline,ID,,Pest Control,SUGARBEETS,[foz_us],9
K20,ID,,,SUGARBEETS,[lb_av],100
Labor (Machine),ID,,,SUGARBEETS,h,8.25
Labor (non-machine),ID,,,SUGARBEETS,h,6.9
Liquid Nitrogen,ID,,,SUGARBEETS,[lb_av],35
Lubricants,ID,,,SUGARBEETS,[acr_us],1
Micronutrients,ID,,,SUGARBEETS,[acr_us],1
oes452091,ID,,,SUGARBEETS,h,8.25
oes452092,ID,,,SUGARBEETS,h,6.9
Poncho Beta Seed Treatment,ID,,,SUGARBEETS,unit,0.44
Repair,ID,,,SUGARBEETS,[acr_us],1
Roundup Original Max,ID,,Pest Control,SUGARBEETS,[foz_us],54
Sugarbeet,ID,,,SUGARBEETS,[ston_av],36
Sugarbeet,ID,,,SUGARBEETS,unit,0.44
Telone II,ID,,Pest Control,SUGARBEETS,[gal_us],20
Treflan 4HFP,ID,,Pest Control,SUGARBEETS,[pt_us],1
Water,ID,,,SUGARBEETS,[acr_us],1
