material,location,phase,commodity,unit,amount
Maintenance,ID,,"WHEAT, WINTER",[acr_us],1
Repair,ID,,"WHEAT, WINTER",[acr_us],1
Sprayer,ID,,"WHEAT, WINTER",[acr_us],1
Riper Shooter,ID,,"WHEAT, WINTER",[acr_us],1
Excel 90,ID,,"WHEAT, WINTER",[foz_us],3.2
Starane+Salvo,ID,,"WHEAT, WINTER",[foz_us],22
Nitrogen (dry),ID,,"WHEAT, WINTER",[lb_av],90
Phosphorous (dry),ID,,"WHEAT, WINTER",[lb_av],30
Sulfur (dry),ID,,"WHEAT, WINTER",[lb_av],10
Wheat,ID,,"WHEAT, WINTER",[lb_av],90
Labor (Machine),ID,,"WHEAT, WINTER",h,1.3
oes452091,ID,,"WHEAT, WINTER",h,1.3
oes452092,ID,,"WHEAT, WINTER",h,0
Fuel - Diesel,ID,,"WHEAT, WINTER",[gal_us],8.08
Brox M,ID,,"WHEAT, WINTER",[foz_us],1.6
Osprey,ID,,"WHEAT, WINTER",[foz_us],4.75
