material,location,phase,operation,commodity,unit,amount
Ammonium Sulfate,OR,,Pest Control,"CORN, SILAGE",[lb_av],2
Corn Seed,OR,,,"CORN, SILAGE",bag,0.48
Counter 15G L-N-L,OR,,Pest Control,"CORN, SILAGE",[lb_av],8
Dry Nitrogen,OR,,,"CORN, SILAGE",[lb_av],210
Dry P2O5,OR,,,"CORN, SILAGE",[lb_av],80
Fuel - Diesel,OR,,,"CORN, SILAGE",[gal_us],13
Fuel - Gas,OR,,,"CORN, SILAGE",[gal_us],1.25
Ground Application,OR,,,"CORN, SILAGE",[acr_us],2
Harvest,OR,,,"CORN, SILAGE",[ston_av],30
K20,OR,,,"CORN, SILAGE",[lb_av],100
Labor (Machine),OR,,,"CORN, SILAGE",h,2.6
Labor (non-machine),OR,,,"CORN, SILAGE",h,3.8
Lube,OR,,,"CORN, SILAGE",[acr_us],1
Micro-Tech,OR,,Pest Control,"CORN, SILAGE",[qt_us],2
Repair,OR,,,"CORN, SILAGE",[acr_us],1
Roundup Original Max,OR,,Pest Control,"CORN, SILAGE",[foz_us],40
Sulfur,OR,,,"CORN, SILAGE",[lb_av],30
Water,OR,,,"CORN, SILAGE",[acr_us],1
