budget_id,commodity,location,phase,material,unit,amount
,11-52-0,OR,,,,39.99
,Dry Sulfur,OR,,,,0.03
,Rodent Control,OR,,,,1
,Insecticide,OR,,,,1
,Weed Control,OR,,,,0.75
,Labor (Machine),OR,,,,5.04
,Labor (non-machine),OR,,,,5.7695
,Haul and Stack,OR,,,,4.5
,11-52-0,OR,,,,39.99
,Dry Sulfur,OR,,,,0.03
,Rodent Control,OR,,,,1
,Insecticide,OR,,,,1
,Weed Control,OR,,,,0.75
,Labor (Machine),OR,,,,5.04
,Labor (non-machine),OR,,,,5.7695
,Haul and Stack,OR,,,,4.5
,oes452091,OR,,,hr,5.04
,oes452092,OR,,,hr,5.77
