material,location,phase,operation,commodity,unit,amount
Ammonium Sulfate,WA,,Pest Control,LENTIL,[oz_av],100
Custom Aerial Spray,WA,,,LENTIL,[acr_us],1
Dimethoate,WA,,Pest Control,LENTIL,[pt_us],1
Fuel,WA,,,LENTIL,[gal_us],7.74
Labor (Machine),WA,,,LENTIL,[acr_us],0.95
Lentil Seed,WA,,,LENTIL,[lb_av],45
Lubricants,WA,,,LENTIL,[acr_us],1
M90,WA,,Pest Control,LENTIL,[oz_av],3
oes452091,WA,,,LENTIL,h,0.95
oes452092,WA,,,LENTIL,h,0
Prowl,WA,,Pest Control,LENTIL,[foz_us],24
Pursuit,WA,,Pest Control,LENTIL,[foz_us],3
Rental Sprayer,WA,,,LENTIL,[acr_us],2
Repair,WA,,,LENTIL,[acr_us],1
Roundup,WA,,Pest Control,LENTIL,[foz_us],18
