FIPS code ,area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,area_title,own_title,industry_title,agglvl_title,size_title,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,Average hourly pay ,lq_disclosure_code,lq_annual_avg_estabs_count,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay
01000,1000,5,111,55,0,2009,A,,Alabama -- Statewide,Private,Crop production,"State, NAICS 3-digit -- by ownership sector",All establishment sizes,264,3114,86817329,28839191,490682,536,27883,13.3603258265,,0.47,0.41,0.54,0.4,0.34,1.31,1.31
01001,1001,5,111,75,0,2009,A,,"Autauga County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,5,64,1452659,570042,5182,435,22609,10.8332534739,,1.21,1.41,1.9,1.49,0.71,1.34,1.34
01003,1003,5,111,75,0,2009,A,,"Baldwin County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,29,500,15476423,5033796,51919,595,30948,14.8289410637,,1.16,2.05,3.83,2.1,1.2,1.86,1.87
01005,1005,5,111,75,0,2009,A,,"Barbour County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,5,35,879448,351180,5302,480,24949,11.954480115,,1.7,0.9,1.4,0.96,0.69,1.56,1.56
01009,1009,5,111,75,0,2009,A,N,"Blount County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,1,0,0,0,0,0,0,0,N,0.27,0,0,0,0,0,0
01011,1011,5,111,75,0,2009,A,,"Bullock County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,4,154,8756681,1481285,49049,1095,56923,27.2750359368,,5.57,12.47,44.59,13.78,21.43,3.58,3.58
01013,1013,5,111,75,0,2009,A,N,"Butler County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,2,0,0,0,0,0,0,0,N,0.85,0,0,0,0,0,0
01015,1015,5,111,75,0,2009,A,N,"Calhoun County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,2,0,0,0,0,0,0,0,N,0.17,0,0,0,0,0,0
01017,1017,5,111,75,0,2009,A,N,"Chambers County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,2,0,0,0,0,0,0,0,N,0.69,0,0,0,0,0,0
01019,1019,5,111,75,0,2009,A,,"Cherokee County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,5,160,3224337,1783254,95322,388,20163,9.6612362242,,2.68,7.96,10.29,10.11,20.71,1.29,1.29
01021,1021,5,111,75,0,2009,A,,"Chilton County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,8,79,1156967,721740,20204,280,14584,6.9880210829,,2.21,2.3,2.12,2.26,3.34,0.92,0.92
01029,1029,5,111,75,0,2009,A,N,"Cleburne County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,1,0,0,0,0,0,0,0,N,0.95,0,0,0,0,0,0
01031,1031,5,111,75,0,2009,A,,"Coffee County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,4,35,901034,308585,2332,500,25991,12.45376138,,0.79,0.58,0.96,0.53,0.24,1.68,1.68
01033,1033,5,111,75,0,2009,A,,"Colbert County, Alabama",Private,Crop production,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,6,30,702079,249608,5586,458,23799,11.4034499281,,0.94,0.35,0.41,0.32,0.29,1.2,1.2
